Vivado Simulator 2018.2
Time resolution is 1 ps
Time=0 PC=00000000 ALU_out=00000005 Illegal=0 Halt=0 Reg_display=00000000
Time=15000 PC=00000004 ALU_out=0000000a Illegal=0 Halt=0 Reg_display=00000000
Time=25000 PC=00000008 ALU_out=0000000a Illegal=0 Halt=0 Reg_display=00000000
Time=35000 PC=0000000c ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=45000 PC=00000010 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=55000 PC=00000014 ALU_out=0000000f Illegal=0 Halt=0 Reg_display=00000000
Time=65000 PC=00000018 ALU_out=00000001 Illegal=0 Halt=0 Reg_display=00000000
Time=75000 PC=0000001c ALU_out=00000005 Illegal=0 Halt=0 Reg_display=00000000
Time=85000 PC=00000020 ALU_out=00000005 Illegal=0 Halt=0 Reg_display=00000000
Time=95000 PC=00000024 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=105000 PC=00000030 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=115000 PC=00000034 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=125000 PC=00000038 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=135000 PC=0000003c ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=145000 PC=00000040 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=155000 PC=00000044 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=165000 PC=00000048 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=175000 PC=0000004c ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=185000 PC=00000050 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=195000 PC=00000054 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=205000 PC=00000058 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=215000 PC=0000005c ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=225000 PC=00000060 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=235000 PC=00000064 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=245000 PC=00000068 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=255000 PC=0000006c ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=265000 PC=00000070 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=275000 PC=00000074 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=285000 PC=00000078 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=295000 PC=0000007c ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=305000 PC=00000080 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=315000 PC=00000084 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=325000 PC=00000088 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=335000 PC=0000008c ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=345000 PC=00000090 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=355000 PC=00000094 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=365000 PC=00000098 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=375000 PC=0000009c ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=385000 PC=000000a0 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=395000 PC=000000a4 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=405000 PC=000000a8 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=415000 PC=000000ac ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=425000 PC=000000b0 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=435000 PC=000000b4 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=445000 PC=000000b8 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=455000 PC=000000bc ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=465000 PC=000000c0 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=475000 PC=000000c4 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=485000 PC=000000c8 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=495000 PC=000000cc ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
Time=505000 PC=000000d0 ALU_out=00000000 Illegal=0 Halt=0 Reg_display=00000000
$finish called at time : 515 ns : File "F:/Digital-System-Design-Semester-Project-CEP/DSD Project + CEP/CEP/CEP.srcs/sim_1/new/mips_tb.v" Line 34
